id_fornecedor,id_empresa,nome_fornecedor,categoria,prazo_medio_pagamento,status,data_cadastro
393,10,Nascimento Peixoto - ME,Manutenção,45,ativo,2022-04-15
394,10,Dias,Mercadorias,30,ativo,2026-03-01
395,10,Freitas,Matéria-prima,21,ativo,2024-06-01
396,10,Teixeira,Matéria-prima,45,ativo,2022-03-15
397,10,Silveira,Manutenção,21,ativo,2022-04-18
398,10,Pereira,Tecnologia,60,ativo,2024-06-19
399,10,Nunes Nogueira S.A.,Energia,60,ativo,2021-10-15
400,10,Vargas,Marketing,15,ativo,2025-10-09
401,11,Fonseca,Tecnologia,60,ativo,2025-02-11
402,11,Machado,Mercadorias,30,ativo,2024-07-25
403,11,Abreu,Energia,45,ativo,2021-12-24
404,11,da Paz - EI,Serviços,60,ativo,2025-06-02
405,11,Moreira S.A.,Energia,30,ativo,2022-12-18
406,11,Abreu,Tecnologia,30,ativo,2023-02-01
407,11,Câmara,Energia,45,ativo,2021-04-01
408,11,Dias Almeida e Filhos,Logística,45,ativo,2020-01-27
409,11,Novaes,Serviços,60,ativo,2025-04-11
410,11,Brito Andrade - ME,Manutenção,21,ativo,2022-01-02
411,11,Cassiano,Matéria-prima,45,ativo,2023-06-01
412,11,da Luz Fonseca - EI,Matéria-prima,45,ativo,2023-11-03
413,11,da Conceição da Cunha Ltda.,Logística,21,ativo,2021-03-21
414,11,Oliveira - ME,Tecnologia,21,ativo,2023-06-12
415,11,Siqueira Barbosa e Filhos,Energia,30,ativo,2025-12-12
416,11,Vieira,Manutenção,15,ativo,2023-05-14
417,11,Cavalcanti,Tecnologia,60,ativo,2021-09-25
418,11,Sales,Serviços,21,ativo,2022-02-25
419,11,Peixoto e Filhos,Marketing,21,ativo,2021-10-08
420,11,Andrade,Logística,30,ativo,2025-10-16
421,11,Barros,Manutenção,60,ativo,2024-09-03
422,11,Vargas Ltda.,Energia,21,ativo,2022-12-12
423,11,Lopes,Manutenção,30,ativo,2024-02-27
424,11,Campos,Logística,30,ativo,2023-09-28
425,11,Souza Rezende - EI,Serviços,30,ativo,2025-01-16
426,11,Porto e Filhos,Energia,45,ativo,2026-04-26
427,11,Aragão,Marketing,45,ativo,2020-01-24
428,11,Moura,Marketing,15,ativo,2024-08-01
429,11,Dias - EI,Serviços,21,ativo,2025-02-14
430,11,Duarte Montenegro e Filhos,Energia,15,ativo,2022-04-08
431,11,Cassiano Aragão e Filhos,Tecnologia,30,ativo,2023-04-22
432,11,Machado,Serviços,15,ativo,2023-08-11
433,11,Câmara - ME,Marketing,45,ativo,2023-08-27
434,11,Viana,Tecnologia,21,ativo,2025-08-22
435,11,Casa Grande,Manutenção,30,ativo,2021-03-13
436,11,Fernandes Barros - ME,Matéria-prima,21,ativo,2021-10-19
437,11,Novaes - ME,Serviços,45,ativo,2025-04-08
438,11,Barros,Mercadorias,45,ativo,2025-06-17
439,11,Montenegro,Tecnologia,30,ativo,2024-03-16
440,11,Vasconcelos,Mercadorias,15,ativo,2020-08-17
441,11,Teixeira Carvalho - ME,Serviços,30,ativo,2026-01-12
442,11,Mendonça Gonçalves e Filhos,Serviços,45,ativo,2023-03-10
443,11,Novais Pimenta e Filhos,Matéria-prima,45,ativo,2021-07-04
444,11,da Cruz Barbosa Ltda.,Matéria-prima,30,ativo,2024-08-21
445,11,Duarte,Logística,21,ativo,2023-05-09
446,11,Camargo e Filhos,Tecnologia,60,ativo,2020-12-26
447,11,Lima,Manutenção,21,ativo,2023-09-04
448,11,Ferreira,Energia,60,ativo,2025-12-15
449,11,Duarte Ferreira - EI,Energia,15,ativo,2021-07-29
