id_anomalia,id_empresa,tipo_anomalia,data_evento,valor_original,valor_anomalo,origem,descricao
37,4,Recebimento Atípico,2024-12-12,4825.22,23999.19,entrada,Anomalia sintética criada para detecção analítica.
38,4,Recebimento Atípico,2024-11-20,11655.64,58213.13,entrada,Anomalia sintética criada para detecção analítica.
39,4,Recebimento Atípico,2025-02-26,1847.99,5945.97,entrada,Anomalia sintética criada para detecção analítica.
40,4,Possível Duplicidade,2025-05-28,15955.02,58345.04,entrada,Anomalia sintética criada para detecção analítica.
41,4,Valor Excepcional,2025-07-22,5133.84,20275.88,entrada,Anomalia sintética criada para detecção analítica.
42,4,Valor Excepcional,2025-08-02,6929.98,31258.93,entrada,Anomalia sintética criada para detecção analítica.
43,4,Possível Duplicidade,2025-08-08,2972.77,9064.91,entrada,Anomalia sintética criada para detecção analítica.
44,4,Possível Duplicidade,2025-07-11,3883.72,16618.3,entrada,Anomalia sintética criada para detecção analítica.
45,4,Recebimento Atípico,2025-10-08,12200.33,43646.98,entrada,Anomalia sintética criada para detecção analítica.
46,4,Valor Excepcional,2025-09-18,9682.35,44260.15,entrada,Anomalia sintética criada para detecção analítica.
47,4,Valor Excepcional,2025-10-10,5957.87,14809.57,entrada,Anomalia sintética criada para detecção analítica.
48,4,Valor Excepcional,2025-09-30,8019.94,31869.79,entrada,Anomalia sintética criada para detecção analítica.
49,4,Recebimento Atípico,2025-12-05,4542.46,15423.0,entrada,Anomalia sintética criada para detecção analítica.
50,4,Recebimento Atípico,2026-05-10,14436.9,42462.61,entrada,Anomalia sintética criada para detecção analítica.
51,4,Possível Duplicidade,2026-05-09,6378.65,26311.01,entrada,Anomalia sintética criada para detecção analítica.
52,4,Recebimento Atípico,2026-03-25,17934.6,67667.99,entrada,Anomalia sintética criada para detecção analítica.
53,5,Recebimento Atípico,2023-02-18,720.4,2269.45,entrada,Anomalia sintética criada para detecção analítica.
54,5,Valor Excepcional,2023-03-07,889.41,2162.8,entrada,Anomalia sintética criada para detecção analítica.
55,5,Possível Duplicidade,2023-08-27,3874.74,18256.16,entrada,Anomalia sintética criada para detecção analítica.
56,5,Valor Excepcional,2024-10-05,2026.66,10455.6,entrada,Anomalia sintética criada para detecção analítica.
57,5,Possível Duplicidade,2025-03-18,1484.02,6773.13,entrada,Anomalia sintética criada para detecção analítica.
58,5,Possível Duplicidade,2026-03-10,9883.55,41433.23,entrada,Anomalia sintética criada para detecção analítica.
59,6,Valor Excepcional,2023-05-08,13621.26,57108.62,entrada,Anomalia sintética criada para detecção analítica.
60,6,Possível Duplicidade,2024-11-12,1383.21,3162.99,entrada,Anomalia sintética criada para detecção analítica.
61,6,Recebimento Atípico,2024-10-31,4165.75,10543.84,entrada,Anomalia sintética criada para detecção analítica.
62,6,Valor Excepcional,2026-01-03,668.4,3379.63,entrada,Anomalia sintética criada para detecção analítica.
63,7,Recebimento Atípico,2023-02-12,46482.94,242971.03,entrada,Anomalia sintética criada para detecção analítica.
64,7,Recebimento Atípico,2023-01-22,14243.66,42986.9,entrada,Anomalia sintética criada para detecção analítica.
65,7,Valor Excepcional,2023-03-26,41.9,202.97,entrada,Anomalia sintética criada para detecção analítica.
66,7,Recebimento Atípico,2023-04-02,2319.12,9671.84,entrada,Anomalia sintética criada para detecção analítica.
67,7,Possível Duplicidade,2023-04-13,8939.22,23827.41,entrada,Anomalia sintética criada para detecção analítica.
68,7,Possível Duplicidade,2023-03-28,55886.49,126436.52,entrada,Anomalia sintética criada para detecção analítica.
69,7,Possível Duplicidade,2023-08-17,27228.09,130077.57,entrada,Anomalia sintética criada para detecção analítica.
70,7,Recebimento Atípico,2023-08-27,2105.97,9005.94,entrada,Anomalia sintética criada para detecção analítica.
71,7,Valor Excepcional,2023-09-05,15659.53,63963.87,entrada,Anomalia sintética criada para detecção analítica.
72,7,Possível Duplicidade,2023-11-20,7792.97,17315.61,entrada,Anomalia sintética criada para detecção analítica.
73,7,Valor Excepcional,2024-02-04,16060.32,80736.95,entrada,Anomalia sintética criada para detecção analítica.
74,7,Valor Excepcional,2024-04-17,5131.3,17298.47,entrada,Anomalia sintética criada para detecção analítica.
75,7,Recebimento Atípico,2024-06-29,1841.5,5299.22,entrada,Anomalia sintética criada para detecção analítica.
76,7,Recebimento Atípico,2024-06-10,4851.15,17905.16,entrada,Anomalia sintética criada para detecção analítica.
77,7,Possível Duplicidade,2024-07-02,8155.7,27327.2,entrada,Anomalia sintética criada para detecção analítica.
78,7,Possível Duplicidade,2024-07-21,6001.33,20912.74,entrada,Anomalia sintética criada para detecção analítica.
79,7,Recebimento Atípico,2024-09-14,6245.6,27825.05,entrada,Anomalia sintética criada para detecção analítica.
80,7,Valor Excepcional,2024-12-02,128.24,399.24,entrada,Anomalia sintética criada para detecção analítica.
81,7,Recebimento Atípico,2024-09-22,1892.7,10271.11,entrada,Anomalia sintética criada para detecção analítica.
82,7,Recebimento Atípico,2024-11-15,11028.97,31477.4,entrada,Anomalia sintética criada para detecção analítica.
83,7,Recebimento Atípico,2025-02-03,9275.04,23730.15,entrada,Anomalia sintética criada para detecção analítica.
84,7,Possível Duplicidade,2025-01-15,6653.26,26884.96,entrada,Anomalia sintética criada para detecção analítica.
85,7,Possível Duplicidade,2025-02-08,10621.22,47368.07,entrada,Anomalia sintética criada para detecção analítica.
86,7,Possível Duplicidade,2025-02-04,28643.82,127987.36,entrada,Anomalia sintética criada para detecção analítica.
87,7,Possível Duplicidade,2025-03-07,14425.46,76470.82,entrada,Anomalia sintética criada para detecção analítica.
88,7,Recebimento Atípico,2025-09-26,7000.95,18795.25,entrada,Anomalia sintética criada para detecção analítica.
89,7,Possível Duplicidade,2026-03-06,5456.66,15909.34,entrada,Anomalia sintética criada para detecção analítica.
90,8,Possível Duplicidade,2024-03-10,1019.35,5348.8,entrada,Anomalia sintética criada para detecção analítica.
91,8,Possível Duplicidade,2024-03-01,3177.38,16114.57,entrada,Anomalia sintética criada para detecção analítica.
92,8,Recebimento Atípico,2024-03-26,905.26,4341.23,entrada,Anomalia sintética criada para detecção analítica.
93,8,Possível Duplicidade,2024-04-26,686.92,2410.57,entrada,Anomalia sintética criada para detecção analítica.
94,8,Valor Excepcional,2024-05-25,10325.3,23308.75,entrada,Anomalia sintética criada para detecção analítica.
95,8,Valor Excepcional,2025-04-17,940.3,2569.77,entrada,Anomalia sintética criada para detecção analítica.
96,8,Possível Duplicidade,2025-10-17,8184.98,21911.55,entrada,Anomalia sintética criada para detecção analítica.
97,8,Recebimento Atípico,2025-10-16,32156.82,106455.72,entrada,Anomalia sintética criada para detecção analítica.
98,8,Possível Duplicidade,2025-10-31,22545.71,99242.13,entrada,Anomalia sintética criada para detecção analítica.
99,8,Possível Duplicidade,2025-10-20,6683.21,21559.42,entrada,Anomalia sintética criada para detecção analítica.
100,8,Possível Duplicidade,2025-11-26,11063.59,59142.39,entrada,Anomalia sintética criada para detecção analítica.
101,8,Possível Duplicidade,2026-01-20,12202.46,55858.75,entrada,Anomalia sintética criada para detecção analítica.
102,8,Possível Duplicidade,2026-01-07,3083.44,13230.22,entrada,Anomalia sintética criada para detecção analítica.
103,8,Possível Duplicidade,2026-04-20,22791.44,56286.88,entrada,Anomalia sintética criada para detecção analítica.
104,8,Valor Excepcional,2026-03-31,6550.58,28826.24,entrada,Anomalia sintética criada para detecção analítica.
105,9,Recebimento Atípico,2023-11-01,1493.84,4258.63,entrada,Anomalia sintética criada para detecção analítica.
106,9,Possível Duplicidade,2025-06-20,5648.17,30930.27,entrada,Anomalia sintética criada para detecção analítica.
107,9,Recebimento Atípico,2025-06-26,443.21,1878.12,entrada,Anomalia sintética criada para detecção analítica.
108,9,Recebimento Atípico,2025-08-17,5427.13,23360.74,entrada,Anomalia sintética criada para detecção analítica.
109,9,Valor Excepcional,2026-05-25,2081.36,10629.17,entrada,Anomalia sintética criada para detecção analítica.
110,9,Possível Duplicidade,2026-06-05,1489.53,5480.87,entrada,Anomalia sintética criada para detecção analítica.
111,9,Valor Excepcional,2026-06-09,7772.92,28015.71,entrada,Anomalia sintética criada para detecção analítica.
112,10,Recebimento Atípico,2023-10-07,9888.89,33532.62,entrada,Anomalia sintética criada para detecção analítica.
113,10,Recebimento Atípico,2025-11-14,10803.27,55357.39,entrada,Anomalia sintética criada para detecção analítica.
114,10,Valor Excepcional,2025-11-24,6061.66,18001.02,entrada,Anomalia sintética criada para detecção analítica.
115,10,Possível Duplicidade,2026-03-28,6173.66,17976.29,entrada,Anomalia sintética criada para detecção analítica.
116,11,Possível Duplicidade,2023-11-27,357.16,1597.3,entrada,Anomalia sintética criada para detecção analítica.
117,12,Recebimento Atípico,2023-09-27,13885.52,65074.61,entrada,Anomalia sintética criada para detecção analítica.
118,12,Possível Duplicidade,2024-02-15,30579.52,85750.36,entrada,Anomalia sintética criada para detecção analítica.
119,12,Recebimento Atípico,2025-02-04,15613.54,43731.29,entrada,Anomalia sintética criada para detecção analítica.
120,12,Valor Excepcional,2025-03-30,4332.98,11191.46,entrada,Anomalia sintética criada para detecção analítica.
121,13,Valor Excepcional,2024-06-28,2155.16,10691.07,entrada,Anomalia sintética criada para detecção analítica.
122,13,Recebimento Atípico,2025-08-27,5870.08,24800.22,entrada,Anomalia sintética criada para detecção analítica.
123,13,Recebimento Atípico,2025-11-22,22439.56,101532.12,entrada,Anomalia sintética criada para detecção analítica.
124,14,Valor Excepcional,2023-06-10,3105.54,8866.01,entrada,Anomalia sintética criada para detecção analítica.
125,14,Possível Duplicidade,2023-05-29,9303.89,28312.02,entrada,Anomalia sintética criada para detecção analítica.
126,14,Possível Duplicidade,2023-06-18,2824.4,15275.22,entrada,Anomalia sintética criada para detecção analítica.
127,14,Recebimento Atípico,2023-08-14,7093.65,19377.19,entrada,Anomalia sintética criada para detecção analítica.
128,14,Valor Excepcional,2023-09-20,44.66,185.85,entrada,Anomalia sintética criada para detecção analítica.
129,14,Valor Excepcional,2024-02-18,12061.38,54612.26,entrada,Anomalia sintética criada para detecção analítica.
130,14,Valor Excepcional,2024-12-17,21181.64,110010.02,entrada,Anomalia sintética criada para detecção analítica.
131,14,Possível Duplicidade,2025-05-19,5394.59,13682.02,entrada,Anomalia sintética criada para detecção analítica.
132,14,Valor Excepcional,2025-10-11,2256.41,12317.75,entrada,Anomalia sintética criada para detecção analítica.
133,14,Possível Duplicidade,2026-03-25,4689.88,25276.67,entrada,Anomalia sintética criada para detecção analítica.
134,14,Possível Duplicidade,2026-06-04,1383.09,4988.67,entrada,Anomalia sintética criada para detecção analítica.
135,15,Possível Duplicidade,2023-04-18,12004.18,26565.84,entrada,Anomalia sintética criada para detecção analítica.
136,15,Valor Excepcional,2023-06-21,9046.14,23383.05,entrada,Anomalia sintética criada para detecção analítica.
137,15,Valor Excepcional,2023-08-31,480.75,1073.57,entrada,Anomalia sintética criada para detecção analítica.
138,15,Possível Duplicidade,2024-10-30,8731.32,31390.8,entrada,Anomalia sintética criada para detecção analítica.
139,15,Valor Excepcional,2025-07-04,616.89,3229.05,entrada,Anomalia sintética criada para detecção analítica.
140,15,Recebimento Atípico,2025-10-08,20249.08,64619.03,entrada,Anomalia sintética criada para detecção analítica.
141,15,Possível Duplicidade,2026-01-24,2580.52,13225.44,entrada,Anomalia sintética criada para detecção analítica.
142,16,Recebimento Atípico,2023-05-01,1780.22,5942.85,entrada,Anomalia sintética criada para detecção analítica.
143,16,Possível Duplicidade,2023-12-22,2316.8,6772.9,entrada,Anomalia sintética criada para detecção analítica.
144,16,Valor Excepcional,2024-09-11,2396.64,12529.77,entrada,Anomalia sintética criada para detecção analítica.
145,16,Possível Duplicidade,2024-11-06,8747.25,45241.0,entrada,Anomalia sintética criada para detecção analítica.
146,16,Possível Duplicidade,2024-10-15,17471.11,79877.88,entrada,Anomalia sintética criada para detecção analítica.
147,16,Valor Excepcional,2025-02-22,10184.74,28298.75,entrada,Anomalia sintética criada para detecção analítica.
148,16,Possível Duplicidade,2025-05-24,2484.66,6512.33,entrada,Anomalia sintética criada para detecção analítica.
149,16,Valor Excepcional,2025-08-08,8941.82,44441.17,entrada,Anomalia sintética criada para detecção analítica.
150,16,Possível Duplicidade,2025-10-13,2290.31,8938.43,entrada,Anomalia sintética criada para detecção analítica.
151,16,Possível Duplicidade,2025-11-07,1348.24,5131.09,entrada,Anomalia sintética criada para detecção analítica.
152,16,Recebimento Atípico,2025-11-16,1228.76,3435.0,entrada,Anomalia sintética criada para detecção analítica.
153,16,Recebimento Atípico,2025-12-31,6428.32,20570.36,entrada,Anomalia sintética criada para detecção analítica.
154,16,Valor Excepcional,2026-02-17,2788.4,12267.34,entrada,Anomalia sintética criada para detecção analítica.
155,16,Possível Duplicidade,2026-02-08,40247.43,187031.65,entrada,Anomalia sintética criada para detecção analítica.
156,16,Valor Excepcional,2026-05-23,3672.85,15019.34,entrada,Anomalia sintética criada para detecção analítica.
157,16,Valor Excepcional,2026-06-16,19407.97,97867.84,entrada,Anomalia sintética criada para detecção analítica.
158,17,Valor Excepcional,2023-05-30,5515.18,22623.15,entrada,Anomalia sintética criada para detecção analítica.
159,17,Valor Excepcional,2024-05-23,8235.15,33549.95,entrada,Anomalia sintética criada para detecção analítica.
160,17,Valor Excepcional,2024-06-14,1991.92,9672.0,entrada,Anomalia sintética criada para detecção analítica.
161,17,Possível Duplicidade,2024-08-19,1658.85,7597.09,entrada,Anomalia sintética criada para detecção analítica.
162,17,Possível Duplicidade,2024-09-19,9829.63,51177.54,entrada,Anomalia sintética criada para detecção analítica.
163,17,Recebimento Atípico,2024-10-27,1931.05,6719.51,entrada,Anomalia sintética criada para detecção analítica.
164,17,Possível Duplicidade,2025-04-20,3383.63,18258.65,entrada,Anomalia sintética criada para detecção analítica.
165,17,Valor Excepcional,2025-06-02,9512.45,30524.07,entrada,Anomalia sintética criada para detecção analítica.
166,17,Valor Excepcional,2025-07-21,17187.97,48382.9,entrada,Anomalia sintética criada para detecção analítica.
167,17,Possível Duplicidade,2026-01-19,9119.71,47430.78,entrada,Anomalia sintética criada para detecção analítica.
168,17,Recebimento Atípico,2026-05-29,2820.39,8677.82,entrada,Anomalia sintética criada para detecção analítica.
169,17,Valor Excepcional,2026-06-17,9457.55,45098.81,entrada,Anomalia sintética criada para detecção analítica.
170,18,Valor Excepcional,2023-04-12,587.56,1847.14,entrada,Anomalia sintética criada para detecção analítica.
171,18,Possível Duplicidade,2023-06-29,2389.38,8869.06,entrada,Anomalia sintética criada para detecção analítica.
172,18,Valor Excepcional,2024-10-15,6277.4,32502.89,entrada,Anomalia sintética criada para detecção analítica.
173,18,Valor Excepcional,2025-02-17,845.22,4341.44,entrada,Anomalia sintética criada para detecção analítica.
174,18,Valor Excepcional,2025-04-15,4630.23,19582.92,entrada,Anomalia sintética criada para detecção analítica.
175,18,Possível Duplicidade,2025-04-26,1203.73,4201.57,entrada,Anomalia sintética criada para detecção analítica.
176,18,Recebimento Atípico,2025-10-17,4041.23,9670.31,entrada,Anomalia sintética criada para detecção analítica.
177,18,Possível Duplicidade,2026-02-28,15010.25,39975.28,entrada,Anomalia sintética criada para detecção analítica.
178,18,Recebimento Atípico,2026-03-30,10189.42,25568.51,entrada,Anomalia sintética criada para detecção analítica.
179,19,Valor Excepcional,2023-03-15,5242.59,13070.88,entrada,Anomalia sintética criada para detecção analítica.
180,19,Possível Duplicidade,2024-03-21,4388.71,10899.93,entrada,Anomalia sintética criada para detecção analítica.
181,19,Possível Duplicidade,2024-10-31,5667.18,21371.81,entrada,Anomalia sintética criada para detecção analítica.
182,19,Recebimento Atípico,2025-08-29,9092.3,48990.04,entrada,Anomalia sintética criada para detecção analítica.
183,19,Possível Duplicidade,2025-11-24,4841.49,19031.03,entrada,Anomalia sintética criada para detecção analítica.
184,19,Possível Duplicidade,2025-11-11,15723.18,65674.34,entrada,Anomalia sintética criada para detecção analítica.
185,19,Recebimento Atípico,2025-12-09,17031.98,52232.01,entrada,Anomalia sintética criada para detecção analítica.
186,19,Possível Duplicidade,2026-04-04,683.32,3472.75,entrada,Anomalia sintética criada para detecção analítica.
187,20,Recebimento Atípico,2023-04-12,4847.7,17699.98,entrada,Anomalia sintética criada para detecção analítica.
188,20,Recebimento Atípico,2023-01-29,17761.54,50651.1,entrada,Anomalia sintética criada para detecção analítica.
189,20,Possível Duplicidade,2023-04-04,2332.36,7640.63,entrada,Anomalia sintética criada para detecção analítica.
190,20,Possível Duplicidade,2023-03-13,13129.54,36520.92,entrada,Anomalia sintética criada para detecção analítica.
191,20,Recebimento Atípico,2023-02-12,2615.6,9488.71,entrada,Anomalia sintética criada para detecção analítica.
192,20,Possível Duplicidade,2023-04-15,5698.02,24421.03,entrada,Anomalia sintética criada para detecção analítica.
193,20,Valor Excepcional,2023-04-07,1361.49,3273.43,entrada,Anomalia sintética criada para detecção analítica.
194,20,Possível Duplicidade,2023-03-29,1920.95,10015.33,entrada,Anomalia sintética criada para detecção analítica.
195,20,Valor Excepcional,2023-05-01,4109.75,21326.53,entrada,Anomalia sintética criada para detecção analítica.
196,20,Valor Excepcional,2023-05-30,5165.12,25984.31,entrada,Anomalia sintética criada para detecção analítica.
197,20,Valor Excepcional,2023-04-25,951.39,4250.53,entrada,Anomalia sintética criada para detecção analítica.
198,20,Valor Excepcional,2023-04-19,1655.98,5480.6,entrada,Anomalia sintética criada para detecção analítica.
199,20,Valor Excepcional,2023-05-10,16802.73,67593.28,entrada,Anomalia sintética criada para detecção analítica.
200,20,Possível Duplicidade,2023-06-03,11456.93,37610.81,entrada,Anomalia sintética criada para detecção analítica.
201,20,Recebimento Atípico,2023-05-22,1901.46,9133.77,entrada,Anomalia sintética criada para detecção analítica.
202,20,Recebimento Atípico,2023-09-03,2207.76,5827.35,entrada,Anomalia sintética criada para detecção analítica.
203,20,Recebimento Atípico,2023-08-01,14152.22,38759.35,entrada,Anomalia sintética criada para detecção analítica.
204,20,Possível Duplicidade,2023-10-02,7111.53,33222.3,entrada,Anomalia sintética criada para detecção analítica.
205,20,Possível Duplicidade,2023-09-07,6200.97,23794.82,entrada,Anomalia sintética criada para detecção analítica.
206,20,Recebimento Atípico,2023-09-10,6249.45,18088.3,entrada,Anomalia sintética criada para detecção analítica.
207,20,Possível Duplicidade,2023-11-23,3008.64,13943.65,entrada,Anomalia sintética criada para detecção analítica.
208,20,Valor Excepcional,2023-11-15,11276.62,29755.56,entrada,Anomalia sintética criada para detecção analítica.
209,20,Possível Duplicidade,2023-10-02,15070.68,74278.07,entrada,Anomalia sintética criada para detecção analítica.
210,20,Valor Excepcional,2023-10-13,9753.17,21709.6,entrada,Anomalia sintética criada para detecção analítica.
211,20,Possível Duplicidade,2023-09-30,686.72,1693.2,entrada,Anomalia sintética criada para detecção analítica.
212,20,Possível Duplicidade,2023-10-01,1254.82,2908.26,entrada,Anomalia sintética criada para detecção analítica.
213,20,Recebimento Atípico,2023-10-21,1020.9,3401.37,entrada,Anomalia sintética criada para detecção analítica.
214,20,Valor Excepcional,2023-11-09,2788.99,12139.41,entrada,Anomalia sintética criada para detecção analítica.
215,20,Possível Duplicidade,2023-12-09,7890.88,27639.47,entrada,Anomalia sintética criada para detecção analítica.
216,20,Recebimento Atípico,2023-10-27,1063.4,5814.72,entrada,Anomalia sintética criada para detecção analítica.
217,20,Possível Duplicidade,2023-12-25,5311.46,24920.33,entrada,Anomalia sintética criada para detecção analítica.
218,20,Valor Excepcional,2024-01-03,13080.54,68728.09,entrada,Anomalia sintética criada para detecção analítica.
219,20,Valor Excepcional,2023-12-17,8367.17,18415.32,entrada,Anomalia sintética criada para detecção analítica.
220,20,Recebimento Atípico,2023-11-23,3602.46,8007.37,entrada,Anomalia sintética criada para detecção analítica.
221,20,Possível Duplicidade,2024-02-02,9614.68,33900.61,entrada,Anomalia sintética criada para detecção analítica.
222,20,Possível Duplicidade,2024-01-02,165.87,577.89,entrada,Anomalia sintética criada para detecção analítica.
223,20,Recebimento Atípico,2023-12-30,8722.23,21861.62,entrada,Anomalia sintética criada para detecção analítica.
224,20,Valor Excepcional,2023-12-17,8776.54,37284.09,entrada,Anomalia sintética criada para detecção analítica.
225,20,Recebimento Atípico,2024-03-06,10510.89,46104.15,entrada,Anomalia sintética criada para detecção analítica.
226,20,Possível Duplicidade,2024-04-25,2836.94,13189.81,entrada,Anomalia sintética criada para detecção analítica.
227,20,Valor Excepcional,2024-05-06,22326.93,63965.27,entrada,Anomalia sintética criada para detecção analítica.
228,20,Valor Excepcional,2024-06-29,6867.94,15712.46,entrada,Anomalia sintética criada para detecção analítica.
229,20,Recebimento Atípico,2024-08-19,26225.58,68780.56,entrada,Anomalia sintética criada para detecção analítica.
230,20,Recebimento Atípico,2024-10-20,1886.53,7408.26,entrada,Anomalia sintética criada para detecção analítica.
231,20,Recebimento Atípico,2024-08-10,2642.02,5956.43,entrada,Anomalia sintética criada para detecção analítica.
232,20,Recebimento Atípico,2024-08-26,1507.05,6109.22,entrada,Anomalia sintética criada para detecção analítica.
233,20,Possível Duplicidade,2024-09-22,31033.71,138453.65,entrada,Anomalia sintética criada para detecção analítica.
234,20,Possível Duplicidade,2024-09-21,13697.43,51562.01,entrada,Anomalia sintética criada para detecção analítica.
235,20,Valor Excepcional,2024-09-20,41662.0,189010.98,entrada,Anomalia sintética criada para detecção analítica.
236,20,Recebimento Atípico,2024-11-14,235.98,1239.61,entrada,Anomalia sintética criada para detecção analítica.
237,20,Possível Duplicidade,2024-10-27,10646.18,37791.84,entrada,Anomalia sintética criada para detecção analítica.
238,20,Valor Excepcional,2024-10-31,35.63,154.44,entrada,Anomalia sintética criada para detecção analítica.
239,20,Valor Excepcional,2024-11-21,1771.03,6379.02,entrada,Anomalia sintética criada para detecção analítica.
240,20,Recebimento Atípico,2024-10-21,543.21,2320.95,entrada,Anomalia sintética criada para detecção analítica.
241,20,Possível Duplicidade,2024-10-11,2781.3,8526.0,entrada,Anomalia sintética criada para detecção analítica.
242,20,Possível Duplicidade,2024-12-08,5464.93,27387.01,entrada,Anomalia sintética criada para detecção analítica.
243,20,Possível Duplicidade,2025-01-01,2366.82,8636.26,entrada,Anomalia sintética criada para detecção analítica.
244,20,Valor Excepcional,2025-01-31,1595.86,7168.38,entrada,Anomalia sintética criada para detecção analítica.
245,20,Possível Duplicidade,2024-12-26,4215.43,16992.79,entrada,Anomalia sintética criada para detecção analítica.
246,20,Valor Excepcional,2025-03-22,4023.89,21684.13,entrada,Anomalia sintética criada para detecção analítica.
247,20,Valor Excepcional,2025-04-07,910.43,2561.52,entrada,Anomalia sintética criada para detecção analítica.
248,20,Recebimento Atípico,2025-05-04,30475.16,81371.31,entrada,Anomalia sintética criada para detecção analítica.
249,20,Valor Excepcional,2025-07-31,13147.02,29980.33,entrada,Anomalia sintética criada para detecção analítica.
250,20,Recebimento Atípico,2025-08-10,3564.81,19332.15,entrada,Anomalia sintética criada para detecção analítica.
251,20,Recebimento Atípico,2025-09-25,18569.87,93207.21,entrada,Anomalia sintética criada para detecção analítica.
252,20,Valor Excepcional,2026-01-27,2755.65,15119.34,entrada,Anomalia sintética criada para detecção analítica.
253,20,Possível Duplicidade,2025-11-29,14476.18,40082.45,entrada,Anomalia sintética criada para detecção analítica.
254,20,Valor Excepcional,2026-01-22,3196.58,10119.14,entrada,Anomalia sintética criada para detecção analítica.
255,20,Recebimento Atípico,2026-04-11,620.62,2032.97,entrada,Anomalia sintética criada para detecção analítica.
256,20,Recebimento Atípico,2026-04-05,3953.8,14071.76,entrada,Anomalia sintética criada para detecção analítica.
257,20,Recebimento Atípico,2026-05-28,3404.85,15001.7,entrada,Anomalia sintética criada para detecção analítica.
258,20,Valor Excepcional,2026-05-07,13034.9,45776.2,entrada,Anomalia sintética criada para detecção analítica.
259,20,Possível Duplicidade,2026-06-04,1641.38,7791.97,entrada,Anomalia sintética criada para detecção analítica.
